#,course_id_name,day,group_number,course_type,end_time,lecturer_name,lesson_or_exercise,semester,start_time
1,142140 - Design Patterns תכנות יישומי בעזרת,ג,14214002,choice - Computer Science,15:45,מר רונן גיא,שיעור,א,13:15
2,142140 - Design Patterns תכנות יישומי בעזרת,ד,14214001,choice - Computer Science,13:00,מר רונן גיא,שיעור,קיץ,09:30
3,142169 - C# תכנות מונחה עצמים בסביבת דוט-נט ושפת,א,14216903,choice - Computer Science,15:45,מר רונן גיא,שיעור,א,12:15
4,142169 - C# תכנות מונחה עצמים בסביבת דוט-נט ושפת,ג,14216901,choice - Computer Science,15:45,מר רונן גיא,שיעור,ב,12:15
5,142169 - C# תכנות מונחה עצמים בסביבת דוט-נט ושפת,ג,14216902,choice - Computer Science,19:45,מר רונן גיא,שיעור,ב,16:15
6,142209 - Value Creation,ב,14220901,choice - Computer Science,11:45,"ד""ר קומן אלכסנדר",שיעור,ב,09:15
7,142209 - Value Creation,ד,14220902,choice - Computer Science,17:45,"ד""ר קומן אלכסנדר",שיעור,ב,15:15
8,142216 - DevOps מבוא ל,ג,14221601,choice - Computer Science,11:45,מר מאמיה משה,שיעור,ב,09:15
9,142223 - Hacking Tech English,ד,14222301,choice - Computer Science,10:45,מר כהן אלדד,שיעור,א,09:15
10,142223 - Hacking Tech English,ד,14222302,choice - Computer Science,12:45,מר כהן אלדד,שיעור,א,11:15
11,150065 - IoT סדנה: פיתוח מערכת,ו,15006501,choice - Sadna,06:04,גב' קמה גיל,שיעור,א,06:00
12,150066 - Kubernetes סדנה: פיתוח אפליקציות,ו,15006601,choice - Sadna,06:04,מר רוכברגר בני,שיעור,א,06:00
13,181037 - Big Data נושאים מתקדמים במערכות איחסון ל,ב,18103701,choice - Computer Science,19:45,פרופ' נאור דלית,שיעור,א,17:15
14,800006 - Sustainability:Challenges and Solutions,א,80000601,choice - Sciences,13:45,"ד""ר השמשוני-יפה נורית",שיעור,ב,11:00
15,אבטחת מידע ממוחשב - 141120,ב,14112001,choice - Computer Science,16:30,"ד""ר ברקמן עמר",שיעור,ב,14:00
16,אובייקטים חכמים לאנשים חכמים עוד יותר - 812357,ג,81235701,choice - Sciences,17:45,"ד""ר בריל גלסנר מיכל",שיעור,א,16:15
17,אנגלית ברמת בסיסי - 50000,ב,5000001,choice - Extra,17:30,גב' הורביץ גרומט שושנה,שיעור,א,15:15
18,אנגלית ברמת בסיסי - 50000,ג,5000003,choice - Extra,18:30,גב' רכט אסתי,שיעור,א,16:00
19,אנגלית ברמת בסיסי - 50000,ג,5000004,choice - Extra,18:30,גב' הורביץ גרומט שושנה,שיעור,א,16:00
20,אנגלית ברמת בסיסי - 50000,ג,5000005,choice - Extra,18:45,גב' רכט אסתי,שיעור,ב,16:15
21,אנגלית ברמת בסיסי - 50000,ד,5000001,choice - Extra,17:45,גב' הורביץ גרומט שושנה,שיעור,א,15:30
22,אנגלית ברמת בסיסי - 50000,ה,5000003,choice - Extra,18:30,גב' רכט אסתי,שיעור,א,16:00
23,אנגלית ברמת בסיסי - 50000,ה,5000004,choice - Extra,18:30,גב' הורביץ גרומט שושנה,שיעור,א,16:00
24,אנגלית ברמת בסיסי - 50000,ה,5000005,choice - Extra,18:45,גב' רכט אסתי,שיעור,ב,16:15
25,אנגלית ברמת מתקדמים א' - 50001,ב,5000111,choice - Extra,20:45,גב' פאינרו ריטה,שיעור,א,17:15
26,אנגלית ברמת מתקדמים א' - 50001,ג,5000113,choice - Extra,19:45,גב' סלוסברג מיכל,שיעור,א,16:15
27,אנגלית ברמת מתקדמים א' - 50001,ג,5000121,choice - Extra,20:45,מר לוי דויד,שיעור,א,17:15
28,אנגלית ברמת מתקדמים א' - 50001,ד,5000114,choice - Extra,19:45,גב' סלוסברג מיכל,שיעור,ב,16:15
29,אנגלית ברמת מתקדמים ב' - 50002,ב,5000214,choice - Extra,19:45,מר כהן אלדד,שיעור,ב,16:15
30,אנגלית ברמת מתקדמים ב' - 50002,ג,5000213,choice - Extra,19:45,גב' קלף לואיז,שיעור,ב,16:15
31,אנגלית ברמת מתקדמים ב' - 50002,ד,5000211,choice - Extra,19:45,מר כהן אלדד,שיעור,א,16:15
32,אנגלית ברמת מתקדמים ב' - 50002,ד,5000215,choice - Extra,20:45,מר לוי דויד,שיעור,ב,17:15
33,אנגלית ברמת מתקדמים ב' - 50002,ה,5000212,choice - Extra,19:45,גב' קלף לואיז,שיעור,א,16:15
34,אנגלית מתקדמים א' - סמסטר קיץ - 50003,ג,5000301,choice - Extra,18:45,גב' פאינרו ריטה,שיעור,קיץ,16:15
35,אנגלית מתקדמים א' - סמסטר קיץ - 50003,ה,5000301,choice - Extra,18:45,גב' פאינרו ריטה,שיעור,קיץ,16:15
36,אנגלית מתקדמים ב'-סמסטר קיץ - 50004,א,5000401,choice - Extra,19:45,מר כהן אלדד,שיעור,קיץ,17:00
37,אנגלית מתקדמים ב'-סמסטר קיץ - 50004,ב,5000402,choice - Extra,18:30,גב' קלף לואיז,שיעור,קיץ,16:00
38,אנגלית מתקדמים ב'-סמסטר קיץ - 50004,ג,5000401,choice - Extra,19:45,מר כהן אלדד,שיעור,קיץ,17:00
39,אנגלית מתקדמים ב'-סמסטר קיץ - 50004,ה,5000402,choice - Extra,18:30,גב' קלף לואיז,שיעור,קיץ,16:00
40,אסטרופיזיקה - 141163,ה,14116301,choice - Sciences,18:30,"ד""ר מועלם רוני",שיעור,א,16:00
41,"ביטחון לאומי, צבא ופוליטיקה בישראל - 800005",ג,80000501,choice - Sciences,17:45,מר גולן יאיר,שיעור,ב,16:15
42,גנים וסביבה בתורשת האדם - 194010,א,19401001,choice - Sciences,14:45,"ד""ר שוויקי דורית",שיעור,א,12:15
43,גנים וסביבה בתורשת האדם - 194010,ג,19401002,choice - Sciences,14:45,"ד""ר שוויקי דורית",שיעור,ב,12:15
44,דמוקרטיה ונסיגה דמוקרטית - 800000,ג,80000001,choice - Sciences,18:00,"ד""ר השמשוני-יפה נורית",שיעור,א,16:30
45,הנדסת מערכות הפעלה - 142222,ב,14222201,choice - Computer Science,10:15,"ד""ר מרימוביץ כרמי",שיעור,א,09:15
46,למידה חישובית עם פייתון - 142194,ב,14219401,choice - Computer Science,12:00,"ד""ר רבינוביץ אלה",שיעור,א,09:30
47,למידה חישובית עם פייתון - 142194,ב,14219403,choice - Computer Science,19:00,"ד""ר רבינוביץ אלה",שיעור,ב,16:30
48,למידה חישובית עם פייתון - 142194,ג,14219402,choice - Computer Science,11:45,"ד""ר טל אמיר",שיעור,ב,09:15
49,למידה עמוקה - 142192,א,14219201,choice - Computer Science,11:30,מר מוסנזון אורי,שיעור,א,09:00
50,מבוא לביג דאטה - 142199,ד,14219901,choice - Computer Science,19:45,מר זמיר מרדכי,שיעור,ב,17:15
51,מבוא לבינה מלאכותית - 141133,ה,14113301,choice - Computer Science,12:45,פרופ' דרור גדעון,שיעור,א,10:15
52,מבוא להגנה מתקיפות - 142214,ג,14221401,choice - Computer Science,19:45,מר מרגלית גד,שיעור,ב,17:15
53,מבוא לחומרה ומערכות משובצות - 142191,א,14219101,choice - Computer Science,20:30,מר זהר עמית,שיעור,א,18:00
54,מבוא ללמידת מכונה - 142207,ד,14220701,choice - Computer Science,16:30,פרופ' שרייבמן עדי,שיעור,ב,13:00
55,מבוא לעיבוד אותות ספרתי - 142215,ד,14221501,choice - Math,16:45,"ד""ר כהן בועז",שיעור,ב,13:15
56,מבוא לפונקציות מרוכבות - 142180,ה,14218001,choice - Math,12:00,מר בצלאל יוסף,שיעור,קיץ,09:00
57,מבוא לפונקציות מרוכבות - 142180,ו,14218001,choice - Math,12:00,מר בצלאל יוסף,שיעור,קיץ,09:00
58,מבוא לתורת המספרים - 142123,א,14212301,choice - Computer Science,18:45,פרופ' לוי דן,שיעור,א,17:15
59,מבוא לתורת המספרים - 142123,ב,14212301,choice - Computer Science,19:45,פרופ' לוי דן,שיעור,א,18:15
60,מבוא לתכנות בלינוקס - 142212,ד,14221201,choice - Computer Science,20:45,מר קרסין גבריאל,שיעור,ב,18:15
61,מבוא לתקשורת מחשבים - 141418,ב,14141804,choice - Computer Science,19:30,"ד""ר בינסקי הדר",שיעור,קיץ,17:00
62,מבוא לתקשורת מחשבים - 141418,ג,14141802,choice - Computer Science,15:45,"ד""ר פרי מור",שיעור,ב,12:15
63,מבוא לתקשורת מחשבים - 141418,ד,14141801,choice - Computer Science,22:00,"ד""ר בינסקי הדר",שיעור,א,18:30
64,מבוא לתקשורת מחשבים - 141418,ד,14141803,choice - Computer Science,21:30,"ד""ר בינסקי הדר",שיעור,ב,18:00
65,מבוא לתקשורת מחשבים - 141418,ה,14141804,choice - Computer Science,21:45,"ד""ר בינסקי הדר",שיעור,קיץ,19:15
66,מטעמים מתמטיים - 142171,ג,14217101,choice - Math,15:45,פרופ' לוי דן,שיעור,ב,14:15
67,מטעמים מתמטיים - 142171,ה,14217101,choice - Math,16:45,פרופ' לוי דן,שיעור,ב,15:15
68,ממשקים מוחשיים - 141182,ג,14118201,choice - Computer Science,18:45,"ד""ר בריל גלסנר מיכל",שיעור,ב,16:15
69,מפגשים עם הביולוגיה - 194005,א,19400501,choice - Sciences,11:45,"ד""ר שוויקי דורית",שיעור,א,09:15
70,משבר האקלים וקיימות – מבט רב תחומי - 811245,א,81124501,choice - Sciences,online,גב' סגל-קליין הילה,שיעור,ב,online
71,נושאים מתקדמים בהסתברות וסטטיסטיקה - 192114,ג,19211403,choice - Math,10:45,פרופ' שטרן מיכל פרופ',שיעור,א,08:15
72,נושאים מתקדמים בהסתברות וסטטיסטיקה - 192114,ג,19211404,choice - Math,11:45,פרופ' שטרן מיכל פרופ',תרגיל,א,11:00
73,ניהול מוצר - 142221,ד,14222101,choice - Computer Science,21:30,גב' ברמן אליענה,שיעור,א,19:00
74,ניהול מוצר - 142221,ד,14222102,choice - Computer Science,20:30,גב' ברמן אליענה,שיעור,ב,18:00
75,ניהול פרוייקטים - 145006,ד,14500601,choice - Computer Science,20:45,"ד""ר קומן אלכסנדר",שיעור,א,18:15
76,ניתוח מערכות - 141161,ד,14116101,choice - Computer Science,17:45,"ד""ר קומן אלכסנדר",שיעור,א,15:15
77,ניתוח מערכות - 141161,ד,14116102,choice - Computer Science,20:45,"ד""ר קומן אלכסנדר",שיעור,ב,18:15
78,סדנה בתכנות תחרותי - 142202,א,14220201,choice - Computer Science,18:00,"ד""ר כהן שראל",שיעור,א,15:30
79,סדנה בתכנות תחרותי - 142202,א,14220202,choice - Computer Science,19:00,"ד""ר כהן שראל",שיעור,ב,16:30
80,סדנה: הנדסת תוכנה - 150034,ו,15003401,choice - Sadna,06:08,מר קירש אמיר,שיעור,א,06:04
81,סדנה: יזמות בפיתוח מוצרי תוכנה - 150029,ו,15002901,choice - Sadna,06:04,מר מרגלית דרור,שיעור,א,06:00
82,סדנה: יזמות עם בינה מלאכותית - 150067,ו,15006701,choice - Sadna,06:04,"ד""ר כהן שראל",שיעור,א,06:00
83,סדנה: יישומי רשת - 150041,ו,15004101,choice - Sadna,06:12,מר קירש אמיר,שיעור,א,06:08
84,סדנה: יצירת מוצר תוכנה - 150012,ו,15001201,choice - Sadna,06:04,מר קירש אמיר,שיעור,א,06:00
85,סדנה: מכונית אוטונומית - 150061,ו,15006101,choice - Sadna,06:04,מר זהר עמית,שיעור,א,06:00
86,סדנה: שיתופי פעולה במחקר - 150068,ו,15006801,choice - Sadna,06:09,"ד""ר כהן שראל",שיעור,א,06:05
87,סדנת יזמות - 150055,ו,15005501,choice - Sadna,06:04,"ד""ר גלובוס אורי",שיעור,א,06:00
88,סדנת משחקים ולמידת מכונה - 150057,ו,15005701,choice - Sadna,06:08,"ד""ר גלובוס אורי",שיעור,א,06:04
89,סדנת נתונים רפואיים - 150059,ו,15005901,choice - Sadna,06:04,פרופ' שרייבמן עדי,שיעור,א,06:00
90,סטטיסטיקה מכוונת למידה - 142206,ב,14220601,choice - Math,17:45,"ד""ר בק נילי",שיעור,א,14:15
91,סטטיסטיקה מכוונת למידה - 142206,ד,14220602,choice - Math,20:00,"ד""ר בק נילי",שיעור,ב,16:30
92,עיבוד שפה טבעית - 145005,א,14500501,choice - Computer Science,14:30,"ד""ר רבינוביץ אלה",שיעור,א,12:00
93,ערבית מדוברת - 800003,א,80000301,choice - Sciences,17:30,גב' נאטור היבא,שיעור,א,16:00
94,ערבית מדוברת - 800003,ד,80000301,choice - Sciences,18:30,גב' נאטור היבא,שיעור,א,17:00
95,פיתוח מודלים פיננסים ופינטק - 150058,ו,15005801,choice - Sadna,06:04,מר זוין עופר-שמשון,שיעור,א,06:00
96,פיתוח מוצר תוכנה בטכנולוגיות מבוססות ענן - 150060,ו,15006001,choice - Sadna,06:04,מר שני יוגב,שיעור,א,06:00
