#,course_id_name,day,group_number,course_type,course_year,end_time,lecturer_name,lesson_or_exercise,semester,start_time
1,111124 - C תכנות מתקדם בשפת ,א,11112413,required,שנה א,11:00,פרופ' דרור גדעון,שיעור,ב,08:30
2,111124 - C תכנות מתקדם בשפת ,א,11112414,required,שנה א,12:45,גב' מרינוב עדי,תרגיל,ב,11:15
3,111124 - C תכנות מתקדם בשפת ,א,11112415,required,שנה א,14:45,גב' מרינוב עדי,תרגיל,ב,13:15
4,111124 - C תכנות מתקדם בשפת ,ד,11112404,required,שנה א,09:45,"ד""ר רוזנבלום איריס",שיעור,ב,08:15
5,111124 - C תכנות מתקדם בשפת ,ד,11112405,required,שנה א,13:45,גב' מרינוב עדי,תרגיל,ב,12:15
6,111124 - C תכנות מתקדם בשפת ,ד,11112406,required,שנה א,11:45,גב' מרינוב עדי,תרגיל,ב,10:15
7,111124 - C תכנות מתקדם בשפת ,ד,11112416,required,שנה א,14:45,"ד""ר סולאמי רדליך משה",שיעור,ב,12:15
8,111124 - C תכנות מתקדם בשפת ,ד,11112418,required,שנה א,09:30,מר חלילי וויסאם,תרגיל,ב,08:00
9,111124 - C תכנות מתקדם בשפת ,ה,11112401,required,שנה א,20:45,"ד""ר בינסקי הדר",שיעור,א,18:15
10,111124 - C תכנות מתקדם בשפת ,ה,11112404,required,שנה א,09:45,"ד""ר רוזנבלום איריס",שיעור,ב,08:15
11,111124 - C תכנות מתקדם בשפת ,ה,11112407,required,שנה א,14:45,"ד""ר בינסקי הדר",שיעור,ב,12:15
12,111124 - C תכנות מתקדם בשפת ,ה,11112408,required,שנה א,18:30,"ד""ר בינסקי הדר",תרגיל,ב,17:00
13,111124 - C תכנות מתקדם בשפת ,ה,11112409,required,שנה א,16:45,"ד""ר בינסקי הדר",תרגיל,ב,15:15
14,111124 - C תכנות מתקדם בשפת ,ה,11112417,required,שנה א,09:30,מר חלילי וויסאם,תרגיל,ב,08:00
15,111124 - C תכנות מתקדם בשפת ,ה,11112419,required,שנה א,12:00,גב' מרינוב עדי,שיעור,קיץ,08:30
16,111124 - C תכנות מתקדם בשפת ,ו,11112402,required,שנה א,13:30,"ד""ר בינסקי הדר",תרגיל,א,12:00
17,111124 - C תכנות מתקדם בשפת ,ו,11112403,required,שנה א,11:45,"ד""ר בינסקי הדר",תרגיל,א,10:15
18,111124 - C תכנות מתקדם בשפת ,ו,11112420,required,שנה א,11:00,מר חלילי וויסאם,תרגיל,קיץ,08:30
19,121119 - C++ תכנות מכוון עצמים ושפת,ב,12111901,required,שנה ב,11:45,מר קירש אמיר,שיעור,א,09:15
20,121119 - C++ תכנות מכוון עצמים ושפת,ד,12111904,required,שנה ב,10:45,מר קירש אמיר,שיעור,א,08:15
21,121119 - C++ תכנות מכוון עצמים ושפת,ד,12111907,required,שנה ב,12:45,"ד""ר סולאמי רדליך משה",שיעור,א,10:15
22,121119 - C++ תכנות מכוון עצמים ושפת,ד,12111908,required,שנה ב,09:30,מר חלילי וויסאם,תרגיל,א,08:00
23,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111902,required,שנה ב,09:30,מר קרני ירדן,תרגיל,א,08:00
24,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111903,required,שנה ב,11:15,מר קרני ירדן,תרגיל,א,09:45
25,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111905,required,שנה ב,10:00,גב' כליף קרן,תרגיל,א,08:30
26,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111906,required,שנה ב,11:45,גב' כליף קרן,תרגיל,א,10:15
27,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111909,required,שנה ב,09:30,מר חלילי וויסאם,תרגיל,א,08:00
28,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111914,required,שנה ב,19:45,מר שני יוגב,תרגיל,ב,18:15
29,121119 - C++ תכנות מכוון עצמים ושפת,ה,12111915,required,שנה ב,21:30,מר שני יוגב,תרגיל,ב,20:00
30,121119 - C++ תכנות מכוון עצמים ושפת,ו,12111913,required,שנה ב,10:45,מר קירש אמיר,שיעור,ב,08:15
31,אלגברה לינארית 1 - 111117,א,11111704,required,שנה א,14:45,מר בצלאל יוסף,תרגיל,ב,13:15
32,אלגברה לינארית 1 - 111117,א,11111714,required,שנה א,12:45,מר בצלאל יוסף,תרגיל,ב,11:15
33,אלגברה לינארית 1 - 111117,א,11111721,required,שנה א,11:45,"ד""ר זיגדון רומינה",שיעור,קיץ,09:15
34,אלגברה לינארית 1 - 111117,ב,11111721,required,שנה א,17:45,"ד""ר זיגדון רומינה",שיעור,קיץ,16:15
35,אלגברה לינארית 1 - 111117,ג,11111703,required,שנה א,12:45,פרופ' לב אריה,שיעור,ב,10:15
36,אלגברה לינארית 1 - 111117,ג,11111706,required,שנה א,12:45,פרופ' צ'פמן אדם,שיעור,ב,11:15
37,אלגברה לינארית 1 - 111117,ג,11111712,required,שנה א,09:45,פרופ' צ'פמן אדם,שיעור,ב,08:15
38,אלגברה לינארית 1 - 111117,ג,11111715,required,שנה א,14:45,"ד""ר זיגדון רומינה",שיעור,ב,13:15
39,אלגברה לינארית 1 - 111117,ג,11111717,required,שנה א,16:45,גב' גל שרון,תרגיל,ב,15:15
40,אלגברה לינארית 1 - 111117,ד,11111705,required,שנה א,13:45,מר בצלאל יוסף,תרגיל,ב,12:15
41,אלגברה לינארית 1 - 111117,ד,11111707,required,שנה א,09:45,מר בצלאל יוסף,תרגיל,ב,08:15
42,אלגברה לינארית 1 - 111117,ד,11111708,required,שנה א,15:45,מר בצלאל יוסף,תרגיל,ב,14:15
43,אלגברה לינארית 1 - 111117,ד,11111713,required,שנה א,11:45,מר בצלאל יוסף,תרגיל,ב,10:15
44,אלגברה לינארית 1 - 111117,ד,11111716,required,שנה א,09:45,גב' גל שרון,תרגיל,ב,08:15
45,אלגברה לינארית 1 - 111117,ד,11111722,required,שנה א,16:45,מר בצלאל יוסף,תרגיל,קיץ,14:15
46,אלגברה לינארית 1 - 111117,ד,11111723,required,שנה א,13:45,מר בצלאל יוסף,תרגיל,קיץ,11:15
47,אלגברה לינארית 1 - 111117,ה,11111703,required,שנה א,11:45,פרופ' לב אריה,שיעור,ב,10:15
48,אלגברה לינארית 1 - 111117,ה,11111706,required,שנה א,09:45,פרופ' צ'פמן אדם,שיעור,ב,08:15
49,אלגברה לינארית 1 - 111117,ה,11111712,required,שנה א,11:45,פרופ' צ'פמן אדם,שיעור,ב,10:15
50,אלגברה לינארית 1 - 111117,ה,11111715,required,שנה א,11:45,"ד""ר זיגדון רומינה",שיעור,ב,10:15
51,אלגברה לינארית 1 - 111117,ה,11111718,required,שנה א,15:00,פרופ' קפלן גיל,שיעור,ב,13:30
52,אלגברה לינארית 1 - 111117,ה,11111719,required,שנה א,20:45,מר לוי שגיא,תרגיל,ב,19:15
53,אלגברה לינארית 1 - 111117,ה,11111720,required,שנה א,18:45,מר לוי שגיא,תרגיל,ב,17:15
54,אלגברה לינארית 1 - 111117,ו,11111718,required,שנה א,13:00,פרופ' קפלן גיל,שיעור,ב,11:30
55,אלגברה ליניארית 2 - 121114,ב,12111406,required,שנה ב,15:30,פרופ' קפלן גיל,שיעור,ב,14:00
56,אלגברה ליניארית 2 - 121114,ב,12111407,required,שנה ב,12:45,"ד""ר כהן בועז",שיעור,קיץ,10:15
